id,name,album,artists,main_artist,genres,year,release_date,popularity,explicit,record_label,playlists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
4t2sMBajRuSKudtieXPgPp,Ranjish Hi Sahi,Coke Studio Season 10: Episode 1,Ali Sethi,Ali Sethi,"ghazal,sufi,qawwali,desi,hindi indie,indian indie",2017,2017-08-14,49,0,Mainstage Productions,Folklore,0.654,0.424,11,-9.535,1,0.0289,0.482,2.1e-05,0.139,0.297,130.03,3,336866
3FTRSa9mWB3kKx2jkhUAN3,Tum Jab Paas,Tum Jab Paas - Single,Prateek Kuhad,Prateek Kuhad,"indian indie,hindi indie",2017,2017-04-24,57,0,AO,Indie_Beats,0.751,0.344,6,-7.712,1,0.0379,0.528,1.62e-06,0.113,0.471,122.1,3,235932
3vXEirfiXobeSQqbye6S5Z,Ranjish Hi Sahi,Coke Studio Season 10: Episode 1,Ali Sethi,Ali Sethi,"ghazal,sufi,qawwali,desi,hindi indie,indian indie",2017,2017-08-14,54,0,Mainstage Productions,Indie_Beats,0.651,0.424,11,-9.535,1,0.0289,0.479,2.1e-05,0.139,0.296,130.036,3,336866
7J2YEpZ1fIodpfsZqSY6wK,Chaap Tilak,"Wajd, Vol. 1",Hadiqa Kiani,Hadiqa Kiani,"qawwali,sufi,ghazal,desi",2017,2017-09-14,53,0,Hadiqa Kiani,Folklore,0.445,0.687,1,-7.592,0,0.14,0.862,1.43e-05,0.231,0.368,90.956,4,404001
6O4sY51NvytQFRAGraqajN,Yeh Raat Bheegi Bheegi,Yeh Raat Bheegi Bheegi,Sanam;Aishwarya Majmudar,Sanam,"hindi pop,desi pop,gujarati garba,gujarati pop,bhajan",2017,2017-02-16,49,0,Saregama India Ltd,Samui,0.611,0.607,1,-5.6,0,0.0296,0.556,0.0,0.553,0.451,88.971,4,224195
1QIwicVeFLDc79loIR04UE,Jaane Woh Kaise,Jaane Woh Kaise - Sanam,Sanam;S. D. Burman,Sanam,"hindi pop,desi pop,ghazal",2017,2017-11-30,52,0,Saregama India Ltd,Samui,0.565,0.361,4,-9.74,1,0.025,0.859,0.0,0.103,0.369,92.942,4,261290
0c1gm3EA6JkvxcEKr4XEoV,Saawariyo,Saawariyo,Atmanam;Aditya Gadhvi,Atmanam,"gujarati pop,gujarati garba,indian indie,bhajan",2017,2017-12-20,32,0,Atmanam,Folklore,0.401,0.683,9,-7.112,1,0.0416,0.0202,0.0,0.174,0.135,89.881,4,265124
3K3mo4LoxPKk18oqIC3hQC,Udaarian,Seasons of Sartaaj,Satinder Sartaaj,Satinder Sartaaj,"sufi,punjabi pop,bhangra",2018,2018-11-29,75,0,Saga Music,Indie_Beats,0.659,0.712,2,-5.585,0,0.0352,0.584,0.0,0.201,0.883,143.792,4,342585
2vDPSojrX4aL7aiCPD7kja,Harukamirai,Iroirotoiro,KANKAKU PIERO,KANKAKU PIERO,"anime,j-rock",2018,2018-02-21,66,0,JIJI INC.,YaNiMe,0.459,0.99,9,-1.083,1,0.128,0.0102,4.98e-06,0.307,0.458,91.006,4,177106
09Z6o1yu596HJAwWZxTz4m,Othaiyadi Pathayila,Kanaa (Original Motion Picture Soundtrack),Dhibu Ninan Thomas;Anirudh Ravichander;Arunraja Kamaraj,Dhibu Ninan Thomas,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop",2018,2018-08-23,77,0,Sony Music Entertainment India Pvt. Ltd.,Southie,0.713,0.615,11,-7.648,0,0.138,0.341,1.55e-06,0.0608,0.807,135.017,3,249671
