genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,popularity,count
marathi pop,0.51512,0.49491999999999997,4.32,-9.3298,0.76,0.0519,0.553868,0.0155602964,0.172656,0.50796,127.50632,3.64,274345.96,38.04,25
desi hip hop,0.6019545454545455,0.5982272727272727,5.136363636363637,-7.585454545454545,0.6818181818181818,0.12490909090909091,0.3280674090909091,0.03764850727272727,0.2515545454545455,0.48827272727272725,110.78022727272727,3.9545454545454546,217780.63636363635,49.09090909090909,22
bangla pop,0.5370476190476191,0.44066666666666665,4.761904761904762,-9.845904761904762,0.7142857142857143,0.07590952380952382,0.7276666666666667,0.044387939523809525,0.1690809523809524,0.5207619047619048,118.2347619047619,3.380952380952381,264146.90476190473,42.76190476190476,21
gujarati garba,0.59175,0.5906,5.6,-8.154399999999999,0.85,0.076185,0.491135,0.0028891489999999997,0.20966,0.48805,122.71795,3.65,241291.35,34.1,20
hindi hip hop,0.624,0.6028947368421053,5.421052631578948,-7.441736842105263,0.631578947368421,0.13116315789473684,0.3108148947368421,0.043548084210526306,0.2309578947368421,0.5147894736842106,106.59673684210526,3.9473684210526314,222607.36842105264,48.68421052631579,19
brazilian funk,0.7730555555555555,0.8038333333333333,6.0,-4.122388888888889,0.5,0.11057777777777779,0.22873444444444443,0.2364040388888889,0.21777777777777776,0.510561111111111,132.97716666666668,4.0,119134.83333333333,68.16666666666667,18
tamil indie,0.4356875,0.4264375,6.3125,-10.5953125,0.5625,0.0794125,0.7199375,0.30405230625,0.144375,0.38028125,104.3713125,3.8125,156310.4375,59.3125,16
gujarati pop,0.6129375,0.569125,5.0,-8.295875,0.9375,0.06186875,0.5537,0.011559329375000002,0.1704125,0.4446875,120.0785,3.5,231606.5625,37.5,16
tollywood,0.5297692307692308,0.5078615384615385,5.538461538461538,-9.466307692307693,0.7692307692307693,0.06771538461538462,0.530776923076923,0.1502332653846154,0.13736923076923077,0.4393076923076923,108.39138461538461,3.8461538461538463,244006.84615384616,48.0,13
punjabi pop,0.6706923076923077,0.6843076923076924,5.153846153846154,-7.01523076923077,0.46153846153846156,0.10180769230769232,0.29793223076923075,0.026662579999999995,0.1858153846153846,0.48715384615384616,123.66092307692308,4.0,220240.84615384616,58.15384615384615,13
