artists,genres,count,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
ewyx,"['brazilian phonk', 'phonk']",1,54.0,0.767,0.909,6.0,-4.946,0.0,0.0568,0.128,0.00216,0.102,0.3,117.738,4.0,119299.0
fakemink,['cloud rap'],1,72.0,0.619,0.824,5.0,-7.437,1.0,0.0459,0.00535,0.719,0.388,0.32,116.072,4.0,84846.0
fenekot,['phonk'],1,66.0,0.688,0.9,1.0,-1.022,1.0,0.0784,0.000799,0.00016,0.361,0.222,94.006,4.0,122921.0
g3ox_em,"['drift phonk', 'phonk']",1,69.0,0.588,0.496,9.0,-5.947,1.0,0.0417,0.00166,0.936,0.186,0.582,128.001,4.0,146274.0
glichery,"['brazilian phonk', 'drift phonk', 'phonk']",1,65.0,0.743,0.684,7.0,-10.807,0.0,0.033,0.00335,0.945,0.0989,0.867,127.996,4.0,110624.0
heapper,"['brazilian phonk', 'funk', 'phonk']",1,70.0,0.83,0.706,6.0,-6.058,0.0,0.0723,0.324,0.189,0.645,0.822,105.978,4.0,101928.0
imase,['j-pop'],1,76.0,0.924,0.563,7.0,-7.899,0.0,0.0802,0.0879,0.0,0.103,0.872,117.06,4.0,210600.0
kobasolo,['j-pop'],1,38.0,0.637,0.539,5.0,-5.511,1.0,0.0258,0.234,0.0,0.0748,0.393,90.979,4.0,279631.0
Amar Jalal,"['hindi indie', 'indian indie']",1,49.0,0.78,0.46,6.0,-7.516,1.0,0.0851,0.455,0.000141,0.061,0.788,124.007,4.0,287573.0
Amir Ameer,"['hindi pop', 'indian indie']",1,71.0,0.383,0.547,4.0,-8.862,0.0,0.0275,0.423,0.0466,0.147,0.236,95.068,4.0,228639.0
bbyclose,[],1,83.0,0.793,0.779,9.0,-4.609,0.0,0.0581,0.279,0.000311,0.314,0.687,142.002,4.0,138246.0
bludnymph,[],1,61.0,0.646,0.962,8.0,-4.148,0.0,0.0485,0.0853,0.000838,0.493,0.685,161.042,4.0,167855.0
bôa,[],1,87.0,0.583,0.888,11.0,-9.414,0.0,0.0349,0.191,4.58e-05,0.0936,0.706,93.206,4.0,203600.0
deadmau5,"['dubstep', 'edm', 'melodic house', 'progressive house']",1,70.0,0.659,0.798,9.0,-6.933,0.0,0.0749,0.175,0.000379,0.708,0.15,126.064,4.0,240445.0
dearukia,"['brazilian phonk', 'funk', 'phonk']",1,64.0,0.831,0.952,8.0,-1.552,1.0,0.179,0.244,0.024,0.324,0.719,109.915,4.0,104879.0
defxxt,"['brazilian phonk', 'phonk']",1,47.0,0.528,0.885,7.0,-3.761,0.0,0.159,0.082,0.0,0.392,0.645,130.094,4.0,105461.0
Akanksha Sethi,"['hindi indie', 'indian indie']",1,0.0,0.307,0.254,0.0,-13.692,1.0,0.0265,0.845,6.08e-06,0.373,0.332,81.028,3.0,208500.0
Akash Rajput,"['desi pop', 'hindi indie', 'hindi pop', 'indian indie']",1,62.0,0.454,0.215,0.0,-14.226,1.0,0.0543,0.863,0.0,0.109,0.383,139.871,4.0,268000.0
Alif,"['hindi indie', 'indian indie', 'qawwali', 'sufi']",1,11.0,0.67,0.676,7.0,-7.829,1.0,0.0352,0.259,0.016,0.277,0.357,129.315,4.0,291340.0
Alltair,"['drum and bass', 'future bass', 'melodic bass']",1,56.0,0.286,0.898,5.0,-3.191,0.0,0.0769,0.0994,0.00218,0.0324,0.318,172.078,4.0,212859.0
Alok,"['brazilian bass', 'electro house', 'electronic', 'slap house']",1,68.0,0.53,0.82,4.0,-4.936,0.0,0.0438,0.154,2.71e-06,0.14,0.355,171.933,4.0,128372.0
Altamash Faridi,"['bollywood', 'desi', 'desi pop', 'gujarati garba', 'gujarati pop', 'hindi pop', 'sufi']",1,48.0,0.702,0.9,7.0,-5.191,1.0,0.0295,0.13,1.02e-05,0.0832,0.438,116.03,4.0,180080.0
Aman Moroney,"['bhajan', 'devotional', 'hindi indie', 'indian indie']",1,23.0,0.836,0.718,8.0,-4.499,0.0,0.0428,0.123,0.0,0.2,0.889,111.037,4.0,160270.0
Amane Uyama,"['hyperpop', 'japanese indie']",1,15.0,0.817,0.668,2.0,-6.85,1.0,0.194,0.0243,2.43e-06,0.193,0.746,95.003,4.0,219840.0
Łaszewo,[],1,63.0,0.62,0.951,7.0,-2.961,1.0,0.0359,0.0396,0.00035,0.314,0.531,139.985,4.0,164142.0
$HXBERRR,"['brazilian phonk', 'phonk', 'rally house']",1,58.0,0.742,0.874,10.0,-3.357,0.0,0.0946,0.0028,0.0178,0.226,0.764,112.904,4.0,104174.0
INTERWORLD,"['brazilian phonk', 'drift phonk', 'phonk']",1,78.0,0.593,0.641,7.0,-12.727,0.0,0.0992,0.426,0.901,0.122,0.147,175.014,4.0,142839.0
ITALO SENA,"['brazilian funk', 'brazilian phonk', 'phonk']",1,67.0,0.79,0.56,6.0,-10.23,0.0,0.269,0.00852,0.000688,0.121,0.627,130.067,4.0,150569.0
Indian Ocean,"['desi hip hop', 'desi pop', 'hindi hip hop', 'hindi indie', 'indian indie', 'sufi']",1,58.0,0.402,0.563,0.0,-6.932,1.0,0.11,0.207,1.37e-06,0.643,0.762,164.776,3.0,403580.0
Isolate.exe,"['drift phonk', 'phonk']",1,65.0,0.692,0.729,11.0,-10.435,1.0,0.0554,0.438,0.656,0.0939,0.13,100.015,4.0,139200.0
Itamar Mc,"['brazilian phonk', 'funk', 'phonk']",1,67.0,0.832,0.893,1.0,-9.084,1.0,0.181,0.0519,0.308,0.107,0.803,115.808,4.0,84471.0
JUNO,"['hindi indie', 'indian indie']",1,37.0,0.367,0.246,1.0,-12.589,1.0,0.0427,0.906,0.0,0.122,0.336,173.406,3.0,198688.0
weezyrsx,"['brazilian phonk', 'phonk']",1,65.0,0.566,0.643,5.0,-3.318,1.0,0.0394,0.465,1.06e-06,0.348,0.587,106.342,4.0,87581.0
wnorg17,"['brazilian phonk', 'phonk']",1,76.0,0.56,0.933,11.0,-2.14,0.0,0.0463,0.00348,0.651,0.341,0.344,122.661,4.0,121846.0
xxanteria,"['brazilian phonk', 'phonk']",1,68.0,0.755,0.927,11.0,0.254,0.0,0.0645,0.00288,0.925,0.0567,0.702,109.952,4.0,115348.0
y3kfae,"['bass house', 'bassline', 'rally house', 'uk garage']",1,54.0,0.805,0.884,8.0,-3.383,0.0,0.0933,0.00646,0.00074,0.423,0.246,135.038,4.0,176000.0
yatashigang,"['brazilian phonk', 'drift phonk', 'phonk']",1,68.0,0.613,0.81,1.0,-6.16,1.0,0.488,0.832,0.899,0.137,0.686,150.251,4.0,116104.0
yngastrobeatz.,"['brazilian phonk', 'phonk']",1,71.0,0.548,0.919,8.0,0.655,1.0,0.0567,0.00861,0.00527,0.103,0.308,104.089,4.0,113169.0
yung kai,[],1,0.0,0.746,0.317,4.0,-11.982,1.0,0.0342,0.933,0.0186,0.121,0.585,97.49,3.0,214357.0
zarzour,"['brazilian funk', 'brazilian phonk', 'funk', 'phonk']",1,62.0,0.96,0.692,2.0,-1.867,1.0,0.293,0.399,4.31e-06,0.103,0.911,129.974,4.0,99317.0
shogrim,"['brazilian phonk', 'phonk']",1,47.0,0.528,0.885,7.0,-3.761,0.0,0.159,0.082,0.0,0.392,0.645,130.094,4.0,105461.0
